                                                                                                                                                                                                              17 Nov 2025 00:39:51
Civil Air Patrol Use Only
Satellite-Satellite42


      Time (UTCG)             x (km)          y (km)          z (km)      Derivative x (km/sec)    Derivative y (km/sec)    Derivative z (km/sec)    True Anomaly (deg)    Arg of Perigee (deg)    Inclination (deg)    RAAN (deg)
-----------------------    ------------    ------------    -----------    ---------------------    ---------------------    ---------------------    ------------------    --------------------    -----------------    ----------
1 Oct 2025 06:00:00.000    -1377.821572     3358.458970    5842.188881                -5.886664                -4.652388                 1.286176                78.750                   0.000               60.000        44.000
1 Oct 2025 06:00:01.000    -1383.707391     3353.804526    5843.471478                -5.884973                -4.656499                 1.279018                78.813                   0.000               60.000        44.000
1 Oct 2025 06:00:02.000    -1389.591515     3349.145974    5844.746917                -5.883274                -4.660605                 1.271860                78.877                   0.000               60.000        44.000
1 Oct 2025 06:00:03.000    -1395.473937     3344.483319    5846.015197                -5.881568                -4.664704                 1.264699                78.940                   0.000               60.000        44.000
1 Oct 2025 06:00:04.000    -1401.354650     3339.816567    5847.276315                -5.879855                -4.668798                 1.257537                79.004                   0.000               60.000        44.000
1 Oct 2025 06:00:05.000    -1407.233646     3335.145724    5848.530270                -5.878135                -4.672887                 1.250374                79.067                   0.000               60.000        44.000
1 Oct 2025 06:00:06.000    -1413.110918     3330.470796    5849.777062                -5.876408                -4.676969                 1.243209                79.130                   0.000               60.000        44.000
1 Oct 2025 06:00:07.000    -1418.986459     3325.791788    5851.016687                -5.874673                -4.681046                 1.236042                79.194                   0.000               60.000        44.000
1 Oct 2025 06:00:08.000    -1424.860262     3321.108705    5852.249145                -5.872931                -4.685117                 1.228874                79.257                   0.000               60.000        44.000
1 Oct 2025 06:00:09.000    -1430.732319     3316.421555    5853.474435                -5.871182                -4.689183                 1.221704                79.321                   0.000               60.000        44.000
1 Oct 2025 06:00:10.000    -1436.602624     3311.730342    5854.692554                -5.869426                -4.693242                 1.214533                79.384                   0.000               60.000        44.000
1 Oct 2025 06:00:11.000    -1442.471169     3307.035073    5855.903501                -5.867663                -4.697296                 1.207361                79.448                   0.000               60.000        44.000
1 Oct 2025 06:00:12.000    -1448.337947     3302.335752    5857.107275                -5.865892                -4.701344                 1.200187                79.511                   0.000               60.000        44.000
1 Oct 2025 06:00:13.000    -1454.202951     3297.632386    5858.303874                -5.864114                -4.705387                 1.193011                79.574                   0.000               60.000        44.000
1 Oct 2025 06:00:14.000    -1460.066174     3292.924980    5859.493297                -5.862330                -4.709423                 1.185834                79.638                   0.000               60.000        44.000
1 Oct 2025 06:00:15.000    -1465.927608     3288.213541    5860.675542                -5.860537                -4.713454                 1.178656                79.701                   0.000               60.000        44.000
1 Oct 2025 06:00:16.000    -1471.787246     3283.498074    5861.850609                -5.858738                -4.717479                 1.171476                79.765                   0.000               60.000        44.000
1 Oct 2025 06:00:17.000    -1477.645082     3278.778585    5863.018494                -5.856932                -4.721498                 1.164295                79.828                   0.000               60.000        44.000
1 Oct 2025 06:00:18.000    -1483.501107     3274.055079    5864.179198                -5.855118                -4.725512                 1.157112                79.891                   0.000               60.000        44.000
1 Oct 2025 06:00:19.000    -1489.355315     3269.327563    5865.332718                -5.853297                -4.729520                 1.149928                79.955                   0.000               60.000        44.000
1 Oct 2025 06:00:20.000    -1495.207699     3264.596042    5866.479053                -5.851469                -4.733522                 1.142742                80.018                   0.000               60.000        44.000
1 Oct 2025 06:00:21.000    -1501.058251     3259.860522    5867.618202                -5.849634                -4.737518                 1.135555                80.082                   0.000               60.000        44.000
1 Oct 2025 06:00:22.000    -1506.906965     3255.121008    5868.750163                -5.847792                -4.741508                 1.128367                80.145                   0.000               60.000        44.000
