                                                                                                                                                                                                              17 Nov 2025 00:39:42
Civil Air Patrol Use Only
Satellite-Satellite11


      Time (UTCG)             x (km)          y (km)          z (km)      Derivative x (km/sec)    Derivative y (km/sec)    Derivative z (km/sec)    True Anomaly (deg)    Arg of Perigee (deg)    Inclination (deg)    RAAN (deg)
-----------------------    ------------    ------------    -----------    ---------------------    ---------------------    ---------------------    ------------------    --------------------    -----------------    ----------
1 Oct 2025 06:00:00.000    -4777.957524     4947.719854       0.000873                -2.738024                -2.644080                 6.592711                 0.000                   0.000               60.000       134.000
1 Oct 2025 06:00:01.000    -4780.692621     4945.072744       6.593583                -2.732169                -2.650139                 6.592707                 0.063                   0.000               60.000       134.000
1 Oct 2025 06:00:02.000    -4783.421862     4942.419577      13.186285                -2.726311                -2.656195                 6.592695                 0.127                   0.000               60.000       134.000
1 Oct 2025 06:00:03.000    -4786.145243     4939.760355      19.778971                -2.720450                -2.662248                 6.592675                 0.190                   0.000               60.000       134.000
1 Oct 2025 06:00:04.000    -4788.862761     4937.095082      26.371632                -2.714586                -2.668297                 6.592647                 0.254                   0.000               60.000       134.000
1 Oct 2025 06:00:05.000    -4791.574413     4934.423761      32.964261                -2.708718                -2.674343                 6.592610                 0.317                   0.000               60.000       134.000
1 Oct 2025 06:00:06.000    -4794.280196     4931.746396      39.556850                -2.702847                -2.680386                 6.592566                 0.380                   0.000               60.000       134.000
1 Oct 2025 06:00:07.000    -4796.980106     4929.062990      46.149391                -2.696972                -2.686426                 6.592514                 0.444                   0.000               60.000       134.000
1 Oct 2025 06:00:08.000    -4799.674139     4926.373546      52.741875                -2.691094                -2.692462                 6.592453                 0.507                   0.000               60.000       134.000
1 Oct 2025 06:00:09.000    -4802.362293     4923.678067      59.334294                -2.685213                -2.698495                 6.592384                 0.571                   0.000               60.000       134.000
1 Oct 2025 06:00:10.000    -4805.044565     4920.976556      65.926641                -2.679329                -2.704525                 6.592308                 0.634                   0.000               60.000       134.000
1 Oct 2025 06:00:11.000    -4807.720950     4918.269018      72.518907                -2.673441                -2.710551                 6.592223                 0.698                   0.000               60.000       134.000
1 Oct 2025 06:00:12.000    -4810.391446     4915.555455      79.111084                -2.667550                -2.716574                 6.592130                 0.761                   0.000               60.000       134.000
1 Oct 2025 06:00:13.000    -4813.056050     4912.835870      85.703164                -2.661656                -2.722594                 6.592029                 0.824                   0.000               60.000       134.000
1 Oct 2025 06:00:14.000    -4815.714757     4910.110268      92.295139                -2.655759                -2.728610                 6.591920                 0.888                   0.000               60.000       134.000
1 Oct 2025 06:00:15.000    -4818.367566     4907.378651      98.887001                -2.649858                -2.734624                 6.591803                 0.951                   0.000               60.000       134.000
1 Oct 2025 06:00:16.000    -4821.014472     4904.641022     105.478742                -2.643954                -2.740633                 6.591678                 1.015                   0.000               60.000       134.000
1 Oct 2025 06:00:17.000    -4823.655473     4901.897385     112.070354                -2.638047                -2.746640                 6.591544                 1.078                   0.000               60.000       134.000
1 Oct 2025 06:00:18.000    -4826.290564     4899.147744     118.661828                -2.632136                -2.752643                 6.591403                 1.141                   0.000               60.000       134.000
1 Oct 2025 06:00:19.000    -4828.919744     4896.392101     125.253157                -2.626223                -2.758642                 6.591254                 1.205                   0.000               60.000       134.000
1 Oct 2025 06:00:20.000    -4831.543009     4893.630461     131.844333                -2.620306                -2.764638                 6.591096                 1.268                   0.000               60.000       134.000
1 Oct 2025 06:00:21.000    -4834.160355     4890.862826     138.435347                -2.614386                -2.770631                 6.590931                 1.332                   0.000               60.000       134.000
1 Oct 2025 06:00:22.000    -4836.771779     4888.089199     145.026192                -2.608462                -2.776621                 6.590757                 1.395                   0.000               60.000       134.000
1 Oct 2025 06:00:23.000    -4839.377278     4885.309585     151.616859                -2.602536                -2.782607                 6.590575                 1.459                   0.000               60.000       134.000
1 Oct 2025 06:00:24.000    -4841.976850     4882.523987     158.207340                -2.596606                -2.788589                 6.590386                 1.522                   0.000               60.000       134.000
1 Oct 2025 06:00:25.000    -4844.570490     4879.732408     164.797627                -2.590673                -2.794569                 6.590188                 1.585                   0.000               60.000       134.000
1 Oct 2025 06:00:26.000    -4847.158195     4876.934851     171.387713                -2.584737                -2.800544                 6.589982                 1.649                   0.000               60.000       134.000
1 Oct 2025 06:00:27.000    -4849.739963     4874.131320     177.977589                -2.578798                -2.806517                 6.589768                 1.712                   0.000               60.000       134.000
1 Oct 2025 06:00:28.000    -4852.315791     4871.321819     184.567246                -2.572856                -2.812486                 6.589546                 1.776                   0.000               60.000       134.000
1 Oct 2025 06:00:29.000    -4854.885674     4868.506350     191.156678                -2.566910                -2.818451                 6.589316                 1.839                   0.000               60.000       134.000
1 Oct 2025 06:00:30.000    -4857.449610     4865.684917     197.745875                -2.560962                -2.824413                 6.589078                 1.902                   0.000               60.000       134.000
1 Oct 2025 06:00:31.000    -4860.007596     4862.857524     204.334830                -2.555010                -2.830372                 6.588831                 1.966                   0.000               60.000       134.000
1 Oct 2025 06:00:32.000    -4862.559629     4860.024175     210.923535                -2.549055                -2.836327                 6.588577                 2.029                   0.000               60.000       134.000
1 Oct 2025 06:00:33.000    -4865.105705     4857.184872     217.511981                -2.543097                -2.842279                 6.588315                 2.093                   0.000               60.000       134.000
1 Oct 2025 06:00:34.000    -4867.645821     4854.339619     224.100161                -2.537136                -2.848227                 6.588044                 2.156                   0.000               60.000       134.000
1 Oct 2025 06:00:35.000    -4870.179975     4851.488419     230.688067                -2.531171                -2.854171                 6.587766                 2.219                   0.000               60.000       134.000
1 Oct 2025 06:00:36.000    -4872.708163     4848.631277     237.275690                -2.525204                -2.860113                 6.587479                 2.283                   0.000               60.000       134.000
1 Oct 2025 06:00:37.000    -4875.230382     4845.768195     243.863022                -2.519234                -2.866050                 6.587184                 2.346                   0.000               60.000       134.000
1 Oct 2025 06:00:38.000    -4877.746630     4842.899178     250.450055                -2.513260                -2.871984                 6.586881                 2.410                   0.000               60.000       134.000
1 Oct 2025 06:00:39.000    -4880.256902     4840.024228     257.036782                -2.507283                -2.877915                 6.586571                 2.473                   0.000               60.000       134.000
