                                                                                        22 Nov 2025 15:51:36
Civil Air Patrol Use Only
Aircraft-Aircraft5


      Time (UTCG)             x (km)          y (km)         z (km)      Lon (deg)    Lat (deg)     Alt (km)
-----------------------    ------------    -----------    -----------    ---------    ---------    ---------
1 Oct 2025 06:00:00.000    -4176.295490    2760.193720    3967.303862       46.705       38.465    17.552464
1 Oct 2025 06:00:01.000    -4176.939724    2759.633302    3967.017855       46.710       38.462    17.552733
1 Oct 2025 06:00:02.000    -4177.583858    2759.072784    3966.731817       46.715       38.459    17.553003
1 Oct 2025 06:00:03.000    -4178.227892    2758.512167    3966.445749       46.720       38.455    17.553272
1 Oct 2025 06:00:04.000    -4178.871826    2757.951450    3966.159652       46.726       38.452    17.553541
1 Oct 2025 06:00:05.000    -4179.515660    2757.390635    3965.873524       46.731       38.449    17.553811
1 Oct 2025 06:00:06.000    -4180.159394    2756.829720    3965.587366       46.736       38.445    17.554080
1 Oct 2025 06:00:07.000    -4180.803029    2756.268706    3965.301178       46.741       38.442    17.554349
1 Oct 2025 06:00:08.000    -4181.446563    2755.707592    3965.014960       46.747       38.439    17.554619
1 Oct 2025 06:00:09.000    -4182.089997    2755.146380    3964.728712       46.752       38.435    17.554888
1 Oct 2025 06:00:10.000    -4182.733332    2754.585068    3964.442434       46.757       38.432    17.555158
1 Oct 2025 06:00:11.000    -4183.376566    2754.023657    3964.156126       46.762       38.429    17.555427
1 Oct 2025 06:00:12.000    -4184.019701    2753.462147    3963.869788       46.767       38.426    17.555697
1 Oct 2025 06:00:13.000    -4184.662735    2752.900538    3963.583420       46.773       38.422    17.555966
1 Oct 2025 06:00:14.000    -4185.305669    2752.338829    3963.297021       46.778       38.419    17.556236
1 Oct 2025 06:00:15.000    -4185.948504    2751.777022    3963.010593       46.783       38.416    17.556505
1 Oct 2025 06:00:16.000    -4186.591238    2751.215115    3962.724135       46.788       38.412    17.556775
1 Oct 2025 06:00:17.000    -4187.233872    2750.653109    3962.437646       46.793       38.409    17.557044
1 Oct 2025 06:00:18.000    -4187.876406    2750.091005    3962.151128       46.799       38.406    17.557314
1 Oct 2025 06:00:19.000    -4188.518840    2749.528801    3961.864579       46.804       38.402    17.557583
1 Oct 2025 06:00:20.000    -4189.161174    2748.966498    3961.578001       46.809       38.399    17.557853
1 Oct 2025 06:00:21.000    -4189.803407    2748.404096    3961.291392       46.814       38.396    17.558122
1 Oct 2025 06:00:22.000    -4190.445541    2747.841595    3961.004754       46.819       38.392    17.558391
1 Oct 2025 06:00:23.000    -4191.087574    2747.278996    3960.718085       46.825       38.389    17.558661
1 Oct 2025 06:00:24.000    -4191.729507    2746.716297    3960.431387       46.830       38.386    17.558930
1 Oct 2025 06:00:25.000    -4192.371340    2746.153499    3960.144658       46.835       38.383    17.559200
1 Oct 2025 06:00:26.000    -4193.013073    2745.590603    3959.857899       46.840       38.379    17.559469
1 Oct 2025 06:00:27.000    -4193.654705    2745.027607    3959.571111       46.845       38.376    17.559739
1 Oct 2025 06:00:28.000    -4194.296237    2744.464513    3959.284292       46.851       38.373    17.560008
1 Oct 2025 06:00:29.000    -4194.937669    2743.901319    3958.997443       46.856       38.369    17.560278
1 Oct 2025 06:00:30.000    -4195.579001    2743.338027    3958.710565       46.861       38.366    17.560547
1 Oct 2025 06:00:31.000    -4196.220232    2742.774636    3958.423656       46.866       38.363    17.560817
1 Oct 2025 06:00:32.000    -4196.861363    2742.211147    3958.136717       46.871       38.359    17.561086
1 Oct 2025 06:00:33.000    -4197.502394    2741.647558    3957.849749       46.877       38.356    17.561355
1 Oct 2025 06:00:34.000    -4198.143324    2741.083871    3957.562750       46.882       38.353    17.561625
1 Oct 2025 06:00:35.000    -4198.784154    2740.520085    3957.275722       46.887       38.349    17.561894
1 Oct 2025 06:00:36.000    -4199.424883    2739.956200    3956.988663       46.892       38.346    17.562164
1 Oct 2025 06:00:37.000    -4200.065512    2739.392216    3956.701575       46.897       38.343    17.562433
1 Oct 2025 06:00:38.000    -4200.706041    2738.828134    3956.414456       46.903       38.340    17.562703
1 Oct 2025 06:00:39.000    -4201.346469    2738.263953    3956.127308       46.908       38.336    17.562972
1 Oct 2025 06:00:40.000    -4201.986797    2737.699674    3955.840129       46.913       38.333    17.563242
1 Oct 2025 06:00:41.000    -4202.627025    2737.135295    3955.552921       46.918       38.330    17.563511
1 Oct 2025 06:00:42.000    -4203.267152    2736.570818    3955.265683       46.923       38.326    17.563780
1 Oct 2025 06:00:43.000    -4203.907178    2736.006243    3954.978414       46.929       38.323    17.564050
1 Oct 2025 06:00:44.000    -4204.547104    2735.441569    3954.691116       46.934       38.320    17.564319
1 Oct 2025 06:00:45.000    -4205.186930    2734.876796    3954.403788       46.939       38.316    17.564589
1 Oct 2025 06:00:46.000    -4205.826655    2734.311925    3954.116430       46.944       38.313    17.564858
1 Oct 2025 06:00:47.000    -4206.466279    2733.746955    3953.829042       46.949       38.310    17.565128
1 Oct 2025 06:00:48.000    -4207.105803    2733.181886    3953.541624       46.955       38.306    17.565397
1 Oct 2025 06:00:49.000    -4207.745226    2732.616719    3953.254176       46.960       38.303    17.565666
1 Oct 2025 06:00:50.000    -4208.384549    2732.051454    3952.966698       46.965       38.300    17.565936
1 Oct 2025 06:00:51.000    -4209.023771    2731.486090    3952.679190       46.970       38.296    17.566205
1 Oct 2025 06:00:52.000    -4209.662892    2730.920628    3952.391653       46.975       38.293    17.566475
1 Oct 2025 06:00:53.000    -4210.301913    2730.355067    3952.104085       46.980       38.290    17.566744
1 Oct 2025 06:00:54.000    -4210.940834    2729.789408    3951.816488       46.986       38.287    17.567013
1 Oct 2025 06:00:55.000    -4211.579653    2729.223650    3951.528860       46.991       38.283    17.567283
1 Oct 2025 06:00:56.000    -4212.218372    2728.657794    3951.241203       46.996       38.280    17.567552
1 Oct 2025 06:00:57.000    -4212.856990    2728.091840    3950.953516       47.001       38.277    17.567822
1 Oct 2025 06:00:58.000    -4213.495508    2727.525787    3950.665799       47.006       38.273    17.568091
1 Oct 2025 06:00:59.000    -4214.133924    2726.959636    3950.378052       47.012       38.270    17.568360
1 Oct 2025 06:01:00.000    -4214.772240    2726.393386    3950.090275       47.017       38.267    17.568629
1 Oct 2025 06:01:01.000    -4215.410455    2725.827038    3949.802468       47.022       38.263    17.568898
1 Oct 2025 06:01:02.000    -4216.048570    2725.260592    3949.514631       47.027       38.260    17.569168
1 Oct 2025 06:01:03.000    -4216.686583    2724.694048    3949.226764       47.032       38.257    17.569437
1 Oct 2025 06:01:04.000    -4217.324496    2724.127405    3948.938868       47.037       38.253    17.569706
1 Oct 2025 06:01:05.000    -4217.962308    2723.560664    3948.650941       47.043       38.250    17.569975
1 Oct 2025 06:01:06.000    -4218.600014    2722.993822    3948.362980       47.048       38.247    17.570237
1 Oct 2025 06:01:07.000    -4219.237620    2722.426882    3948.074990       47.053       38.243    17.570498
1 Oct 2025 06:01:08.000    -4219.875124    2721.859843    3947.786969       47.058       38.240    17.570759
1 Oct 2025 06:01:09.000    -4220.512527    2721.292706    3947.498918       47.063       38.237    17.571021
1 Oct 2025 06:01:10.000    -4221.149830    2720.725471    3947.210837       47.069       38.234    17.571282
1 Oct 2025 06:01:11.000    -4221.787031    2720.158137    3946.922727       47.074       38.230    17.571543
1 Oct 2025 06:01:12.000    -4222.424132    2719.590706    3946.634586       47.079       38.227    17.571804
1 Oct 2025 06:01:13.000    -4223.061131    2719.023176    3946.346416       47.084       38.224    17.572064
1 Oct 2025 06:01:14.000    -4223.698030    2718.455549    3946.058215       47.089       38.220    17.572325
1 Oct 2025 06:01:15.000    -4224.334827    2717.887823    3945.769985       47.094       38.217    17.572586
1 Oct 2025 06:01:16.000    -4224.971524    2717.319999    3945.481725       47.100       38.214    17.572846
1 Oct 2025 06:01:17.000    -4225.608119    2716.752077    3945.193435       47.105       38.210    17.573106
1 Oct 2025 06:01:18.000    -4226.244613    2716.184057    3944.905115       47.110       38.207    17.573367
1 Oct 2025 06:01:19.000    -4226.881007    2715.615939    3944.616765       47.115       38.204    17.573627
1 Oct 2025 06:01:20.000    -4227.517299    2715.047723    3944.328386       47.120       38.200    17.573887
1 Oct 2025 06:01:21.000    -4228.153490    2714.479409    3944.039976       47.125       38.197    17.574147
1 Oct 2025 06:01:22.000    -4228.789580    2713.910996    3943.751537       47.131       38.194    17.574407
1 Oct 2025 06:01:23.000    -4229.425568    2713.342486    3943.463067       47.136       38.190    17.574666
1 Oct 2025 06:01:24.000    -4230.061456    2712.773879    3943.174568       47.141       38.187    17.574926
1 Oct 2025 06:01:25.000    -4230.697242    2712.205173    3942.886039       47.146       38.184    17.575185
1 Oct 2025 06:01:26.000    -4231.332928    2711.636369    3942.597480       47.151       38.180    17.575445
1 Oct 2025 06:01:27.000    -4231.968512    2711.067467    3942.308892       47.157       38.177    17.575704
1 Oct 2025 06:01:28.000    -4232.603995    2710.498468    3942.020273       47.162       38.174    17.575963
1 Oct 2025 06:01:29.000    -4233.239376    2709.929370    3941.731624       47.167       38.171    17.576222
1 Oct 2025 06:01:30.000    -4233.874656    2709.360175    3941.442946       47.172       38.167    17.576481
1 Oct 2025 06:01:31.000    -4234.509835    2708.790882    3941.154238       47.177       38.164    17.576740
1 Oct 2025 06:01:32.000    -4235.144913    2708.221491    3940.865500       47.182       38.161    17.576999
1 Oct 2025 06:01:33.000    -4235.779890    2707.652003    3940.576732       47.188       38.157    17.577258
1 Oct 2025 06:01:34.000    -4236.414765    2707.082416    3940.287935       47.193       38.154    17.577516
1 Oct 2025 06:01:35.000    -4237.049539    2706.512732    3939.999107       47.198       38.151    17.577775
1 Oct 2025 06:01:36.000    -4237.684211    2705.942950    3939.710250       47.203       38.147    17.578033
1 Oct 2025 06:01:37.000    -4238.318783    2705.373071    3939.421363       47.208       38.144    17.578291
1 Oct 2025 06:01:38.000    -4238.953252    2704.803093    3939.132446       47.213       38.141    17.578549
1 Oct 2025 06:01:39.000    -4239.587621    2704.233019    3938.843499       47.219       38.137    17.578807
1 Oct 2025 06:01:40.000    -4240.221888    2703.662846    3938.554523       47.224       38.134    17.579065
1 Oct 2025 06:01:41.000    -4240.856054    2703.092576    3938.265516       47.229       38.131    17.579323
1 Oct 2025 06:01:42.000    -4241.490118    2702.522208    3937.976480       47.234       38.127    17.579581
1 Oct 2025 06:01:43.000    -4242.124080    2701.951742    3937.687414       47.239       38.124    17.579838
1 Oct 2025 06:01:44.000    -4242.757942    2701.381179    3937.398318       47.244       38.121    17.580096
1 Oct 2025 06:01:45.000    -4243.391702    2700.810519    3937.109193       47.249       38.117    17.580353
1 Oct 2025 06:01:46.000    -4244.025359    2700.239760    3936.820036       47.255       38.114    17.580609
1 Oct 2025 06:01:47.000    -4244.658915    2699.668904    3936.530850       47.260       38.111    17.580864
1 Oct 2025 06:01:48.000    -4245.292369    2699.097950    3936.241634       47.265       38.107    17.581120
1 Oct 2025 06:01:49.000    -4245.925958    2698.526757    3935.952232       47.270       38.104    17.581375
1 Oct 2025 06:01:50.000    -4246.559206    2697.955611    3935.662959       47.275       38.101    17.581630
1 Oct 2025 06:01:51.000    -4247.192352    2697.384367    3935.373656       47.280       38.097    17.581886
1 Oct 2025 06:01:52.000    -4247.825396    2696.813025    3935.084324       47.286       38.094    17.582141
1 Oct 2025 06:01:53.000    -4248.458339    2696.241586    3934.794962       47.291       38.091    17.582396
1 Oct 2025 06:01:54.000    -4249.091181    2695.670050    3934.505570       47.296       38.087    17.582651
1 Oct 2025 06:01:55.000    -4249.723920    2695.098416    3934.216148       47.301       38.084    17.582906
1 Oct 2025 06:01:56.000    -4250.356558    2694.526685    3933.926697       47.306       38.081    17.583161
1 Oct 2025 06:01:57.000    -4250.989095    2693.954857    3933.637216       47.311       38.078    17.583416
1 Oct 2025 06:01:58.000    -4251.621530    2693.382931    3933.347705       47.316       38.074    17.583670
1 Oct 2025 06:01:59.000    -4252.253863    2692.810908    3933.058164       47.322       38.071    17.583925
1 Oct 2025 06:02:00.000    -4252.886095    2692.238788    3932.768594       47.327       38.068    17.584180
1 Oct 2025 06:02:01.000    -4253.518225    2691.666570    3932.478994       47.332       38.064    17.584434
1 Oct 2025 06:02:02.000    -4254.150253    2691.094256    3932.189364       47.337       38.061    17.584689
1 Oct 2025 06:02:03.000    -4254.782179    2690.521844    3931.899705       47.342       38.058    17.584943
1 Oct 2025 06:02:04.000    -4255.414004    2689.949334    3931.610016       47.347       38.054    17.585197
1 Oct 2025 06:02:05.000    -4256.045727    2689.376728    3931.320297       47.353       38.051    17.585452
1 Oct 2025 06:02:06.000    -4256.677349    2688.804024    3931.030549       47.358       38.048    17.585706
1 Oct 2025 06:02:07.000    -4257.308868    2688.231224    3930.740770       47.363       38.044    17.585960
1 Oct 2025 06:02:08.000    -4257.940286    2687.658326    3930.450963       47.368       38.041    17.586214
