                                                                                                                                                                                                              17 Nov 2025 00:39:42
Civil Air Patrol Use Only
Satellite-Satellite12


      Time (UTCG)             x (km)          y (km)          z (km)      Derivative x (km/sec)    Derivative y (km/sec)    Derivative z (km/sec)    True Anomaly (deg)    Arg of Perigee (deg)    Inclination (deg)    RAAN (deg)
-----------------------    ------------    ------------    -----------    ---------------------    ---------------------    ---------------------    ------------------    --------------------    -----------------    ----------
1 Oct 2025 06:00:00.000    -5127.808306     1809.303391    4211.984459                 1.803219                -5.741800                 4.661750                45.000                   0.000               60.000       134.000
1 Oct 2025 06:00:01.000    -5126.001946     1803.560484    4216.643628                 1.809499                -5.744012                 4.656588                45.063                   0.000               60.000       134.000
1 Oct 2025 06:00:02.000    -5124.189307     1797.815368    4221.297633                 1.815778                -5.746218                 4.651420                45.127                   0.000               60.000       134.000
1 Oct 2025 06:00:03.000    -5122.370392     1792.068050    4225.946466                 1.822053                -5.748417                 4.646246                45.190                   0.000               60.000       134.000
1 Oct 2025 06:00:04.000    -5120.545201     1786.318537    4230.590123                 1.828327                -5.750609                 4.641066                45.254                   0.000               60.000       134.000
1 Oct 2025 06:00:05.000    -5118.713739     1780.566835    4235.228597                 1.834598                -5.752793                 4.635881                45.317                   0.000               60.000       134.000
1 Oct 2025 06:00:06.000    -5116.876005     1774.812952    4239.861883                 1.840868                -5.754971                 4.630690                45.380                   0.000               60.000       134.000
1 Oct 2025 06:00:07.000    -5115.032004     1769.056895    4244.489976                 1.847134                -5.757142                 4.625494                45.444                   0.000               60.000       134.000
1 Oct 2025 06:00:08.000    -5113.181737     1763.298672    4249.112869                 1.853399                -5.759305                 4.620292                45.507                   0.000               60.000       134.000
1 Oct 2025 06:00:09.000    -5111.325207     1757.538288    4253.730557                 1.859661                -5.761462                 4.615084                45.571                   0.000               60.000       134.000
1 Oct 2025 06:00:10.000    -5109.462415     1751.775751    4258.343035                 1.865921                -5.763611                 4.609870                45.634                   0.000               60.000       134.000
1 Oct 2025 06:00:11.000    -5107.593365     1746.011068    4262.950296                 1.872179                -5.765753                 4.604651                45.698                   0.000               60.000       134.000
1 Oct 2025 06:00:12.000    -5105.718058     1740.244247    4267.552335                 1.878435                -5.767889                 4.599426                45.761                   0.000               60.000       134.000
1 Oct 2025 06:00:13.000    -5103.836496     1734.475294    4272.149147                 1.884688                -5.770017                 4.594196                45.824                   0.000               60.000       134.000
1 Oct 2025 06:00:14.000    -5101.948683     1728.704216    4276.740725                 1.890939                -5.772138                 4.588960                45.888                   0.000               60.000       134.000
1 Oct 2025 06:00:15.000    -5100.054620     1722.931020    4281.327065                 1.897187                -5.774252                 4.583718                45.951                   0.000               60.000       134.000
1 Oct 2025 06:00:16.000    -5098.154309     1717.155714    4285.908160                 1.903434                -5.776359                 4.578471                46.015                   0.000               60.000       134.000
1 Oct 2025 06:00:17.000    -5096.247753     1711.378305    4290.484005                 1.909677                -5.778459                 4.573218                46.078                   0.000               60.000       134.000
1 Oct 2025 06:00:18.000    -5094.334955     1705.598799    4295.054594                 1.915919                -5.780552                 4.567960                46.141                   0.000               60.000       134.000
1 Oct 2025 06:00:19.000    -5092.415916     1699.817204    4299.619922                 1.922158                -5.782637                 4.562695                46.205                   0.000               60.000       134.000
1 Oct 2025 06:00:20.000    -5090.490639     1694.033526    4304.179983                 1.928395                -5.784716                 4.557426                46.268                   0.000               60.000       134.000
1 Oct 2025 06:00:21.000    -5088.559126     1688.247774    4308.734772                 1.934630                -5.786788                 4.552150                46.332                   0.000               60.000       134.000
1 Oct 2025 06:00:22.000    -5086.621380     1682.459953    4313.284282                 1.940862                -5.788852                 4.546870                46.395                   0.000               60.000       134.000
1 Oct 2025 06:00:23.000    -5084.677404     1676.670071    4317.828509                 1.947092                -5.790910                 4.541583                46.459                   0.000               60.000       134.000
1 Oct 2025 06:00:24.000    -5082.727198     1670.878136    4322.367447                 1.953319                -5.792960                 4.536291                46.522                   0.000               60.000       134.000
1 Oct 2025 06:00:25.000    -5080.770767     1665.084154    4326.901089                 1.959544                -5.795003                 4.530994                46.585                   0.000               60.000       134.000
1 Oct 2025 06:00:26.000    -5078.808111     1659.288132    4331.429432                 1.965766                -5.797039                 4.525691                46.649                   0.000               60.000       134.000
1 Oct 2025 06:00:27.000    -5076.839234     1653.490078    4335.952469                 1.971987                -5.799068                 4.520382                46.712                   0.000               60.000       134.000
1 Oct 2025 06:00:28.000    -5074.864139     1647.689998    4340.470194                 1.978204                -5.801090                 4.515068                46.776                   0.000               60.000       134.000
1 Oct 2025 06:00:29.000    -5072.882826     1641.887899    4344.982602                 1.984420                -5.803105                 4.509748                46.839                   0.000               60.000       134.000
1 Oct 2025 06:00:30.000    -5070.895300     1636.083790    4349.489688                 1.990633                -5.805113                 4.504423                46.902                   0.000               60.000       134.000
1 Oct 2025 06:00:31.000    -5068.901562     1630.277676    4353.991446                 1.996843                -5.807113                 4.499092                46.966                   0.000               60.000       134.000
1 Oct 2025 06:00:32.000    -5066.901615     1624.469565    4358.487871                 2.003051                -5.809107                 4.493756                47.029                   0.000               60.000       134.000
1 Oct 2025 06:00:33.000    -5064.895461     1618.659465    4362.978956                 2.009257                -5.811093                 4.488414                47.093                   0.000               60.000       134.000
1 Oct 2025 06:00:34.000    -5062.883102     1612.847381    4367.464697                 2.015460                -5.813072                 4.483067                47.156                   0.000               60.000       134.000
1 Oct 2025 06:00:35.000    -5060.864542     1607.033322    4371.945088                 2.021660                -5.815045                 4.477714                47.219                   0.000               60.000       134.000
1 Oct 2025 06:00:36.000    -5058.839782     1601.217294    4376.420123                 2.027859                -5.817010                 4.472356                47.283                   0.000               60.000       134.000
1 Oct 2025 06:00:37.000    -5056.808825     1595.399305    4380.889798                 2.034054                -5.818967                 4.466992                47.346                   0.000               60.000       134.000
1 Oct 2025 06:00:38.000    -5054.771674     1589.579362    4385.354106                 2.040247                -5.820918                 4.461623                47.410                   0.000               60.000       134.000
1 Oct 2025 06:00:39.000    -5052.728331     1583.757471    4389.813042                 2.046438                -5.822862                 4.456248                47.473                   0.000               60.000       134.000
1 Oct 2025 06:00:40.000    -5050.678799     1577.933641    4394.266600                 2.052626                -5.824798                 4.450868                47.537                   0.000               60.000       134.000
1 Oct 2025 06:00:41.000    -5048.623080     1572.107877    4398.714776                 2.058812                -5.826728                 4.445483                47.600                   0.000               60.000       134.000
1 Oct 2025 06:00:42.000    -5046.561176     1566.280188    4403.157564                 2.064995                -5.828650                 4.440092                47.663                   0.000               60.000       134.000
1 Oct 2025 06:00:43.000    -5044.493090     1560.450579    4407.594958                 2.071176                -5.830565                 4.434695                47.727                   0.000               60.000       134.000
