                                                                                        22 Nov 2025 15:56:43
Civil Air Patrol Use Only
Aircraft-Aircraft9


      Time (UTCG)             x (km)          y (km)         z (km)      Lon (deg)    Lat (deg)     Alt (km)
-----------------------    ------------    ------------    ----------    ---------    ---------    ---------
1 Oct 2025 06:00:00.000    -4191.839523    -4815.159843    364.057632      129.055        3.189    16.443532
1 Oct 2025 06:00:01.000    -4191.367748    -4815.530159    364.571425      129.056        3.194    16.442612
1 Oct 2025 06:00:02.000    -4190.895909    -4815.900401    365.085226      129.057        3.198    16.441691
1 Oct 2025 06:00:03.000    -4190.424008    -4816.270567    365.599034      129.059        3.203    16.440771
1 Oct 2025 06:00:04.000    -4189.952043    -4816.640657    366.112850      129.060        3.208    16.439851
1 Oct 2025 06:00:05.000    -4189.480014    -4817.010673    366.626673      129.061        3.212    16.438930
1 Oct 2025 06:00:06.000    -4189.007923    -4817.380613    367.140504      129.062        3.217    16.438010
1 Oct 2025 06:00:07.000    -4188.535768    -4817.750477    367.654343      129.063        3.222    16.437090
1 Oct 2025 06:00:08.000    -4188.063550    -4818.120267    368.168188      129.064        3.226    16.436170
1 Oct 2025 06:00:09.000    -4187.591268    -4818.489980    368.682042      129.066        3.231    16.435250
1 Oct 2025 06:00:10.000    -4187.118924    -4818.859619    369.195902      129.067        3.236    16.434330
1 Oct 2025 06:00:11.000    -4186.646516    -4819.229182    369.709771      129.068        3.240    16.433410
1 Oct 2025 06:00:12.000    -4186.174045    -4819.598669    370.223646      129.069        3.245    16.432490
1 Oct 2025 06:00:13.000    -4185.701511    -4819.968082    370.737529      129.070        3.249    16.431570
1 Oct 2025 06:00:14.000    -4185.228918    -4820.337423    371.251420      129.072        3.254    16.430656
1 Oct 2025 06:00:15.000    -4184.756262    -4820.706690    371.765319      129.073        3.259    16.429744
1 Oct 2025 06:00:16.000    -4184.283543    -4821.075881    372.279224      129.074        3.263    16.428831
1 Oct 2025 06:00:17.000    -4183.810761    -4821.444997    372.793138      129.075        3.268    16.427919
1 Oct 2025 06:00:18.000    -4183.337916    -4821.814037    373.307058      129.076        3.273    16.427006
1 Oct 2025 06:00:19.000    -4182.865007    -4822.183002    373.820987      129.078        3.277    16.426093
1 Oct 2025 06:00:20.000    -4182.392036    -4822.551891    374.334922      129.079        3.282    16.425181
1 Oct 2025 06:00:21.000    -4181.919001    -4822.920704    374.848865      129.080        3.287    16.424268
1 Oct 2025 06:00:22.000    -4181.445903    -4823.289442    375.362816      129.081        3.291    16.423356
1 Oct 2025 06:00:23.000    -4180.972742    -4823.658104    375.876773      129.082        3.296    16.422443
1 Oct 2025 06:00:24.000    -4180.499518    -4824.026691    376.390739      129.084        3.301    16.421531
1 Oct 2025 06:00:25.000    -4180.026231    -4824.395202    376.904711      129.085        3.305    16.420618
1 Oct 2025 06:00:26.000    -4179.552881    -4824.763638    377.418691      129.086        3.310    16.419706
1 Oct 2025 06:00:27.000    -4179.079467    -4825.131998    377.932679      129.087        3.315    16.418793
1 Oct 2025 06:00:28.000    -4178.605991    -4825.500282    378.446674      129.088        3.319    16.417881
1 Oct 2025 06:00:29.000    -4178.132452    -4825.868490    378.960676      129.089        3.324    16.416968
1 Oct 2025 06:00:30.000    -4177.658849    -4826.236623    379.474686      129.091        3.329    16.416056
1 Oct 2025 06:00:31.000    -4177.185184    -4826.604681    379.988703      129.092        3.333    16.415143
1 Oct 2025 06:00:32.000    -4176.711455    -4826.972662    380.502727      129.093        3.338    16.414231
1 Oct 2025 06:00:33.000    -4176.237664    -4827.340568    381.016759      129.094        3.343    16.413318
1 Oct 2025 06:00:34.000    -4175.763809    -4827.708398    381.530798      129.095        3.347    16.412406
1 Oct 2025 06:00:35.000    -4175.289892    -4828.076152    382.044844      129.097        3.352    16.411493
1 Oct 2025 06:00:36.000    -4174.815911    -4828.443831    382.558898      129.098        3.357    16.410581
1 Oct 2025 06:00:37.000    -4174.341868    -4828.811434    383.072960      129.099        3.361    16.409669
1 Oct 2025 06:00:38.000    -4173.867762    -4829.178961    383.587028      129.100        3.366    16.408756
1 Oct 2025 06:00:39.000    -4173.393592    -4829.546412    384.101104      129.101        3.371    16.407844
1 Oct 2025 06:00:40.000    -4172.919360    -4829.913788    384.615187      129.103        3.375    16.406932
1 Oct 2025 06:00:41.000    -4172.445065    -4830.281088    385.129278      129.104        3.380    16.406019
1 Oct 2025 06:00:42.000    -4171.970706    -4830.648312    385.643376      129.105        3.384    16.405107
1 Oct 2025 06:00:43.000    -4171.496285    -4831.015460    386.157482      129.106        3.389    16.404194
1 Oct 2025 06:00:44.000    -4171.021801    -4831.382532    386.671594      129.107        3.394    16.403282
1 Oct 2025 06:00:45.000    -4170.547255    -4831.749529    387.185714      129.109        3.398    16.402370
1 Oct 2025 06:00:46.000    -4170.072645    -4832.116449    387.699842      129.110        3.403    16.401458
1 Oct 2025 06:00:47.000    -4169.597972    -4832.483294    388.213976      129.111        3.408    16.400545
1 Oct 2025 06:00:48.000    -4169.123237    -4832.850063    388.728118      129.112        3.412    16.399633
1 Oct 2025 06:00:49.000    -4168.648439    -4833.216756    389.242268      129.113        3.417    16.398721
1 Oct 2025 06:00:50.000    -4168.173577    -4833.583373    389.756424      129.114        3.422    16.397808
1 Oct 2025 06:00:51.000    -4167.698653    -4833.949914    390.270588      129.116        3.426    16.396896
1 Oct 2025 06:00:52.000    -4167.223667    -4834.316379    390.784759      129.117        3.431    16.395984
1 Oct 2025 06:00:53.000    -4166.748617    -4834.682768    391.298938      129.118        3.436    16.395072
1 Oct 2025 06:00:54.000    -4166.273505    -4835.049082    391.813124      129.119        3.440    16.394159
1 Oct 2025 06:00:55.000    -4165.798329    -4835.415319    392.327317      129.120        3.445    16.393247
1 Oct 2025 06:00:56.000    -4165.323091    -4835.781480    392.841517      129.122        3.450    16.392335
1 Oct 2025 06:00:57.000    -4164.847791    -4836.147566    393.355725      129.123        3.454    16.391423
1 Oct 2025 06:00:58.000    -4164.372427    -4836.513575    393.869940      129.124        3.459    16.390511
1 Oct 2025 06:00:59.000    -4163.897001    -4836.879508    394.384162      129.125        3.464    16.389598
1 Oct 2025 06:01:00.000    -4163.421512    -4837.245365    394.898392      129.126        3.468    16.388686
1 Oct 2025 06:01:01.000    -4162.945960    -4837.611147    395.412629      129.128        3.473    16.387774
1 Oct 2025 06:01:02.000    -4162.470346    -4837.976852    395.926873      129.129        3.478    16.386862
1 Oct 2025 06:01:03.000    -4161.994669    -4838.342481    396.441124      129.130        3.482    16.385950
1 Oct 2025 06:01:04.000    -4161.518929    -4838.708034    396.955383      129.131        3.487    16.385038
1 Oct 2025 06:01:05.000    -4161.043126    -4839.073511    397.469649      129.132        3.492    16.384126
1 Oct 2025 06:01:06.000    -4160.567261    -4839.438912    397.983922      129.134        3.496    16.383214
1 Oct 2025 06:01:07.000    -4160.091334    -4839.804237    398.498203      129.135        3.501    16.382302
1 Oct 2025 06:01:08.000    -4159.615346    -4840.169490    399.012491      129.136        3.506    16.381395
1 Oct 2025 06:01:09.000    -4159.139296    -4840.534666    399.526786      129.137        3.510    16.380488
1 Oct 2025 06:01:10.000    -4158.663183    -4840.899766    400.041088      129.138        3.515    16.379580
1 Oct 2025 06:01:11.000    -4158.187008    -4841.264789    400.555398      129.139        3.520    16.378673
1 Oct 2025 06:01:12.000    -4157.710770    -4841.629737    401.069715      129.141        3.524    16.377766
1 Oct 2025 06:01:13.000    -4157.234469    -4841.994608    401.584039      129.142        3.529    16.376858
1 Oct 2025 06:01:14.000    -4156.758106    -4842.359404    402.098370      129.143        3.534    16.375951
1 Oct 2025 06:01:15.000    -4156.281680    -4842.724123    402.612709      129.144        3.538    16.375044
1 Oct 2025 06:01:16.000    -4155.805192    -4843.088765    403.127055      129.145        3.543    16.374136
1 Oct 2025 06:01:17.000    -4155.328641    -4843.453332    403.641408      129.147        3.548    16.373229
1 Oct 2025 06:01:18.000    -4154.852027    -4843.817822    404.155768      129.148        3.552    16.372321
1 Oct 2025 06:01:19.000    -4154.375351    -4844.182236    404.670135      129.149        3.557    16.371414
1 Oct 2025 06:01:20.000    -4153.898612    -4844.546574    405.184510      129.150        3.561    16.370507
1 Oct 2025 06:01:21.000    -4153.421811    -4844.910835    405.698891      129.151        3.566    16.369599
1 Oct 2025 06:01:22.000    -4152.944947    -4845.275020    406.213280      129.153        3.571    16.368692
1 Oct 2025 06:01:23.000    -4152.468021    -4845.639129    406.727677      129.154        3.575    16.367784
1 Oct 2025 06:01:24.000    -4151.991032    -4846.003161    407.242080      129.155        3.580    16.366877
1 Oct 2025 06:01:25.000    -4151.513981    -4846.367117    407.756491      129.156        3.585    16.365969
1 Oct 2025 06:01:26.000    -4151.036867    -4846.730997    408.270908      129.157        3.589    16.365062
1 Oct 2025 06:01:27.000    -4150.559691    -4847.094801    408.785333      129.159        3.594    16.364155
1 Oct 2025 06:01:28.000    -4150.082452    -4847.458528    409.299765      129.160        3.599    16.363247
1 Oct 2025 06:01:29.000    -4149.605151    -4847.822178    409.814204      129.161        3.603    16.362340
1 Oct 2025 06:01:30.000    -4149.127787    -4848.185753    410.328651      129.162        3.608    16.361432
1 Oct 2025 06:01:31.000    -4148.650361    -4848.549250    410.843104      129.163        3.613    16.360525
1 Oct 2025 06:01:32.000    -4148.172873    -4848.912672    411.357565      129.164        3.617    16.359617
1 Oct 2025 06:01:33.000    -4147.695322    -4849.276017    411.872033      129.166        3.622    16.358710
1 Oct 2025 06:01:34.000    -4147.217708    -4849.639285    412.386508      129.167        3.627    16.357802
1 Oct 2025 06:01:35.000    -4146.740033    -4850.002477    412.900990      129.168        3.631    16.356895
1 Oct 2025 06:01:36.000    -4146.262294    -4850.365593    413.415479      129.169        3.636    16.355987
1 Oct 2025 06:01:37.000    -4145.784494    -4850.728632    413.929976      129.170        3.641    16.355080
1 Oct 2025 06:01:38.000    -4145.306631    -4851.091595    414.444479      129.172        3.645    16.354172
1 Oct 2025 06:01:39.000    -4144.828706    -4851.454481    414.958990      129.173        3.650    16.353264
1 Oct 2025 06:01:40.000    -4144.350718    -4851.817290    415.473508      129.174        3.655    16.352357
1 Oct 2025 06:01:41.000    -4143.872668    -4852.180023    415.988033      129.175        3.659    16.351449
1 Oct 2025 06:01:42.000    -4143.394556    -4852.542680    416.502565      129.176        3.664    16.350542
