                                                                                         22 Nov 2025 15:55:03
Civil Air Patrol Use Only
Aircraft-Aircraft7


      Time (UTCG)             x (km)          y (km)          z (km)      Lon (deg)    Lat (deg)     Alt (km)
-----------------------    ------------    ------------    -----------    ---------    ---------    ---------
1 Oct 2025 06:00:00.000    -1184.070305    -4684.574432    4169.214543      155.798       40.942    12.977279
1 Oct 2025 06:00:01.000    -1183.814909    -4685.090051    4168.712000      155.798       40.936    12.977914
1 Oct 2025 06:00:02.000    -1183.559432    -4685.605609    4168.209408      155.798       40.930    12.978550
1 Oct 2025 06:00:03.000    -1183.303875    -4686.121107    4167.706766      155.798       40.924    12.979185
1 Oct 2025 06:00:04.000    -1183.048236    -4686.636545    4167.204075      155.799       40.918    12.979821
1 Oct 2025 06:00:05.000    -1182.792516    -4687.151922    4166.701335      155.799       40.912    12.980456
1 Oct 2025 06:00:06.000    -1182.536715    -4687.667240    4166.198545      155.799       40.906    12.981092
1 Oct 2025 06:00:07.000    -1182.280833    -4688.182496    4165.695707      155.800       40.900    12.981727
1 Oct 2025 06:00:08.000    -1182.024871    -4688.697693    4165.192818      155.800       40.894    12.982362
1 Oct 2025 06:00:09.000    -1181.768827    -4689.212829    4164.689881      155.800       40.888    12.982998
1 Oct 2025 06:00:10.000    -1181.512702    -4689.727904    4164.186894      155.800       40.882    12.983633
1 Oct 2025 06:00:11.000    -1181.256496    -4690.242920    4163.683858      155.801       40.876    12.984269
1 Oct 2025 06:00:12.000    -1181.000209    -4690.757874    4163.180773      155.801       40.870    12.984904
1 Oct 2025 06:00:13.000    -1180.743841    -4691.272769    4162.677639      155.801       40.864    12.985540
1 Oct 2025 06:00:14.000    -1180.487393    -4691.787603    4162.174455      155.801       40.858    12.986176
1 Oct 2025 06:00:15.000    -1180.230863    -4692.302376    4161.671222      155.802       40.852    12.986811
1 Oct 2025 06:00:16.000    -1179.974252    -4692.817089    4161.167940      155.802       40.846    12.987447
1 Oct 2025 06:00:17.000    -1179.717561    -4693.331741    4160.664608      155.802       40.840    12.988082
1 Oct 2025 06:00:18.000    -1179.460788    -4693.846333    4160.161227      155.803       40.834    12.988718
1 Oct 2025 06:00:19.000    -1179.203935    -4694.360864    4159.657797      155.803       40.828    12.989353
1 Oct 2025 06:00:20.000    -1178.947001    -4694.875335    4159.154318      155.803       40.822    12.989989
1 Oct 2025 06:00:21.000    -1178.689985    -4695.389745    4158.650790      155.803       40.816    12.990624
