                                                                                                                                                                                                               17 Nov 2025 00:39:47
Civil Air Patrol Use Only
Satellite-Satellite28


      Time (UTCG)             x (km)          y (km)          z (km)       Derivative x (km/sec)    Derivative y (km/sec)    Derivative z (km/sec)    True Anomaly (deg)    Arg of Perigee (deg)    Inclination (deg)    RAAN (deg)
-----------------------    ------------    ------------    ------------    ---------------------    ---------------------    ---------------------    ------------------    --------------------    -----------------    ----------
1 Oct 2025 06:00:00.000    -5441.124975    -2598.323722    -3309.332668                -0.843857                -5.214529                 5.481639               326.250                   0.000               60.000       224.000
1 Oct 2025 06:00:01.000    -5441.965499    -2603.536659    -3303.849003                -0.837191                -5.211343                 5.485689               326.313                   0.000               60.000       224.000
1 Oct 2025 06:00:02.000    -5442.799357    -2608.746406    -3298.361291                -0.830525                -5.208151                 5.489733               326.377                   0.000               60.000       224.000
1 Oct 2025 06:00:03.000    -5443.626548    -2613.952958    -3292.869539                -0.823857                -5.204952                 5.493770               326.440                   0.000               60.000       224.000
1 Oct 2025 06:00:04.000    -5444.447070    -2619.156309    -3287.373753                -0.817188                -5.201747                 5.497801               326.504                   0.000               60.000       224.000
1 Oct 2025 06:00:05.000    -5445.260923    -2624.356450    -3281.873940                -0.810518                -5.198535                 5.501824               326.567                   0.000               60.000       224.000
1 Oct 2025 06:00:06.000    -5446.068106    -2629.553377    -3276.370107                -0.803848                -5.195317                 5.505841               326.630                   0.000               60.000       224.000
1 Oct 2025 06:00:07.000    -5446.868618    -2634.747083    -3270.862260                -0.797176                -5.192093                 5.509851               326.694                   0.000               60.000       224.000
1 Oct 2025 06:00:08.000    -5447.662458    -2639.937561    -3265.350407                -0.790503                -5.188862                 5.513854               326.757                   0.000               60.000       224.000
1 Oct 2025 06:00:09.000    -5448.449624    -2645.124806    -3259.834554                -0.783829                -5.185625                 5.517851               326.821                   0.000               60.000       224.000
1 Oct 2025 06:00:10.000    -5449.230116    -2650.308810    -3254.314708                -0.777155                -5.182382                 5.521841               326.884                   0.000               60.000       224.000
1 Oct 2025 06:00:11.000    -5450.003933    -2655.489568    -3248.790875                -0.770479                -5.179132                 5.525824               326.948                   0.000               60.000       224.000
1 Oct 2025 06:00:12.000    -5450.771074    -2660.667072    -3243.263062                -0.763803                -5.175876                 5.529800               327.011                   0.000               60.000       224.000
