                                                                                         19 Nov 2025 20:17:09
Civil Air Patrol Use Only
Aircraft-Aircraft1


      Time (UTCG)             x (km)          y (km)          z (km)      Lon (deg)    Lat (deg)     Alt (km)
-----------------------    ------------    ------------    -----------    ---------    ---------    ---------
1 Oct 2025 06:00:00.000    -2963.884901    -5456.812185    1515.920773      141.563       13.736    15.197312
1 Oct 2025 06:00:01.000    -2963.606377    -5456.815944    1516.448634      141.561       13.741    15.197427
1 Oct 2025 06:00:02.000    -2963.327845    -5456.819646    1516.976482      141.559       13.746    15.197542
1 Oct 2025 06:00:03.000    -2963.049303    -5456.823291    1517.504319      141.557       13.751    15.197657
1 Oct 2025 06:00:04.000    -2962.770753    -5456.826880    1518.032143      141.555       13.756    15.197774
1 Oct 2025 06:00:05.000    -2962.492193    -5456.830413    1518.559955      141.553       13.761    15.197891
1 Oct 2025 06:00:06.000    -2962.213624    -5456.833888    1519.087755      141.551       13.766    15.198008
1 Oct 2025 06:00:07.000    -2961.935045    -5456.837306    1519.615542      141.550       13.771    15.198125
1 Oct 2025 06:00:08.000    -2961.656457    -5456.840668    1520.143317      141.548       13.776    15.198242
1 Oct 2025 06:00:09.000    -2961.377860    -5456.843972    1520.671080      141.546       13.781    15.198360
1 Oct 2025 06:00:10.000    -2961.099253    -5456.847219    1521.198831      141.544       13.785    15.198477
1 Oct 2025 06:00:11.000    -2960.820638    -5456.850409    1521.726569      141.542       13.790    15.198594
1 Oct 2025 06:00:12.000    -2960.542012    -5456.853542    1522.254295      141.540       13.795    15.198711
1 Oct 2025 06:00:13.000    -2960.263378    -5456.856618    1522.782009      141.538       13.800    15.198829
1 Oct 2025 06:00:14.000    -2959.984734    -5456.859636    1523.309710      141.536       13.805    15.198946
1 Oct 2025 06:00:15.000    -2959.706081    -5456.862598    1523.837399      141.534       13.810    15.199063
1 Oct 2025 06:00:16.000    -2959.427419    -5456.865503    1524.365076      141.532       13.815    15.199181
1 Oct 2025 06:00:17.000    -2959.148747    -5456.868351    1524.892740      141.530       13.820    15.199298
1 Oct 2025 06:00:18.000    -2958.870066    -5456.871141    1525.420392      141.528       13.825    15.199415
1 Oct 2025 06:00:19.000    -2958.591376    -5456.873875    1525.948032      141.527       13.830    15.199533
1 Oct 2025 06:00:20.000    -2958.312677    -5456.876551    1526.475659      141.525       13.834    15.199651
1 Oct 2025 06:00:21.000    -2958.033968    -5456.879170    1527.003274      141.523       13.839    15.199768
1 Oct 2025 06:00:22.000    -2957.755251    -5456.881733    1527.530877      141.521       13.844    15.199886
1 Oct 2025 06:00:23.000    -2957.476524    -5456.884238    1528.058467      141.519       13.849    15.200003
1 Oct 2025 06:00:24.000    -2957.197788    -5456.886686    1528.586045      141.517       13.854    15.200121
1 Oct 2025 06:00:25.000    -2956.919042    -5456.889077    1529.113611      141.515       13.859    15.200239
1 Oct 2025 06:00:26.000    -2956.640288    -5456.891411    1529.641164      141.513       13.864    15.200357
1 Oct 2025 06:00:27.000    -2956.361524    -5456.893688    1530.168705      141.511       13.869    15.200474
1 Oct 2025 06:00:28.000    -2956.082751    -5456.895907    1530.696234      141.509       13.874    15.200592
1 Oct 2025 06:00:29.000    -2955.803969    -5456.898070    1531.223750      141.507       13.879    15.200710
1 Oct 2025 06:00:30.000    -2955.525178    -5456.900176    1531.751253      141.505       13.884    15.200828
1 Oct 2025 06:00:31.000    -2955.246378    -5456.902224    1532.278745      141.504       13.888    15.200946
1 Oct 2025 06:00:32.000    -2954.967568    -5456.904216    1532.806224      141.502       13.893    15.201064
1 Oct 2025 06:00:33.000    -2954.688750    -5456.906150    1533.333690      141.500       13.898    15.201182
1 Oct 2025 06:00:34.000    -2954.409923    -5456.908029    1533.861145      141.498       13.903    15.201302
1 Oct 2025 06:00:35.000    -2954.131087    -5456.909850    1534.388587      141.496       13.908    15.201421
1 Oct 2025 06:00:36.000    -2953.852241    -5456.911614    1534.916016      141.494       13.913    15.201541
1 Oct 2025 06:00:37.000    -2953.573387    -5456.913321    1535.443434      141.492       13.918    15.201660
1 Oct 2025 06:00:38.000    -2953.294524    -5456.914971    1535.970838      141.490       13.923    15.201780
1 Oct 2025 06:00:39.000    -2953.015651    -5456.916564    1536.498231      141.488       13.928    15.201899
1 Oct 2025 06:00:40.000    -2952.736770    -5456.918100    1537.025611      141.486       13.933    15.202019
1 Oct 2025 06:00:41.000    -2952.457879    -5456.919579    1537.552978      141.484       13.938    15.202138
